CPU Name,Rating,Rank,Num Thread Execution units,Avg Speed,Stock Speed,Samples,Single Thread,maxTDP,turbospeed,cores per cpu,logicals per core,CPU First Seen in Charts,class,Other Names,URL (https://www.cpubenchmark.net/)
AMD EPYC 7713,85947,19,128,2000,2000,29,2741,225,3675,64,2,3/19/2021,Server,AMD EPYC 7713 64-Core Processor,cpu.php?cpu=AMD+EPYC+7713&id=4206
AMD Ryzen Threadripper PRO 3995WX,85208,20,128,2695,2700,43,2626,280,4200,64,2,9/4/2020,Desktop,AMD Ryzen Threadripper PRO 3995WX 64-Cores,cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3995WX&id=3837
[Dual CPU] AMD EPYC 7453,84484,21,112,2750,2750,1,2534,225,3450,28,2,12/28/2021,Server,AMD EPYC 7453 28-Core Processor,cpu.php?cpu=AMD+EPYC+7453&id=4663&cpuCount=2
[Dual CPU] Intel Xeon Platinum 8358 @ 2.60GHz,83847,22,128,3098,2600,3,2341,250,3400,32,2,8/18/2021,Server,Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz,cpu.php?cpu=Intel+Xeon+Platinum+8358+%40+2.60GHz&id=4493&cpuCount=2
[Dual CPU] AMD EPYC 7532,82917,23,128,3307,2400,2,2160,200,3300,32,2,8/15/2021,Server,AMD EPYC 7532 32-Core Processor,cpu.php?cpu=AMD+EPYC+7532&id=4482&cpuCount=2
AMD Ryzen Threadripper 3990X,81195,24,128,2965.514706,2900,142,2570,280,4300,64,2,2/12/2020,Desktop,AMD Ryzen Threadripper 3990X 64-Core Processor,cpu.php?cpu=AMD+Ryzen+Threadripper+3990X&id=3674
[Dual CPU] AMD EPYC 7502,80226,25,128,2500,2500,8,2188,180,3350,32,2,11/21/2020,Server,AMD EPYC 7502 32-Core Processor,cpu.php?cpu=AMD+EPYC+7502&id=3880&cpuCount=2
[Dual CPU] Intel Xeon Gold 6348 @ 2.60GHz,78496,26,112,3166,2600,3,2424,235,3500,28,2,8/18/2021,Server,Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz,cpu.php?cpu=Intel+Xeon+Gold+6348+%40+2.60GHz&id=4494&cpuCount=2
AMD EPYC 7B13,77460,27,60,2249,2249,2,2564,,,60,1,9/22/2021,Server,AMD EPYC 7B13,cpu.php?cpu=AMD+EPYC+7B13&id=4535
[Dual CPU] Intel Xeon Gold 6342 @ 2.80GHz,76580,28,96,3498,2800,4,2456,230,3500,24,2,8/17/2021,Server,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,cpu.php?cpu=Intel+Xeon+Gold+6342+%40+2.80GHz&id=4485&cpuCount=2
